compound_id,smiles,activity_label,activity_value_um
CID-3037,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,active,
CID-4418,COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O,active,
CID-5717,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,active,
CID-73157,CCCCCC1=C(C(=CC2=C1OC3=CC(=CC(=C3C(=O)O2)C(=O)CCCC)OC)O)C(=O)O,active,
CID-87247,CCCC(=O)OC1=CC2=C(C=C1)C(=CC(=O)O2)C,active,
CID-211186,COC1=C(C=C(C=C1Cl)C(=O)NN)Cl,active,
CID-215090,CC1=NC2=CC=CC3=C2C(=CC=C3)N1C,active,
CID-460749,CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)Cl)C,active,
CID-597363,CC(=O)NC1=C(C2=NON=C2C(=C1)OC(=O)C)OC(=O)C,active,
CID-601670,C1=CC2=C(C=C1C(=O)O)SC=N2,active,
CID-615593,CC1=C(SC(=C1C(=O)C2=CC=CC=C2)NC(=O)CCl)C,active,
CID-638860,CCOC(=O)C1=C(SC(=C1)C2=CC=CC=C2)N,active,
CID-644611,CC1=CC=C(O1)C(C(=O)NCC2=CC=CO2)N(C3=CC=C(C=C3)OC)C(=O)CN4C5=CC=CC=C5N=N4,active,
CID-644661,CC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)OCCO4,active,
CID-645365,CC1=CC2=C(C=C1)NC(=O)C(=C2)CN(CCC3=CC=CC=C3)CC4=NN=NN4CC5CCCO5,active,
CID-645492,CC1=CC=C(C=C1)CN(C(C2=CC=CS2)C(=O)NCC3=CC=CO3)C(=O)CN4C5=CC=CC=C5N=N4,active,
CID-647501,CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=C3)C,active,
CID-648374,C1=CC=C(C(=C1)C2=NN(N=N2)CC(=O)NCC3=CC=CO3)NC(=O)C4=CC=CC=C4F,active,
CID-648736,CC1=CC=C(O1)C(C(=O)NCC2=CC=CO2)N(C3=CC=CC=C3OC)C(=O)CN4C5=CC=CC=C5N=N4,active,
CID-649398,COCCNC(=O)C(C1=CC(=CC=C1)OC)N(CC2=CC=CS2)C(=O)CN3C4=CC=CC=C4N=N3,active,
CID-649868,C1CC2=C(C1)C=C(C=C2)N(C(C3=CC=CO3)C(=O)NCC4=CC=CO4)C(=O)CN5C6=CC=CC=C6N=N5,active,
CID-649992,C1COCCN1C(=O)OC2=CC3=C(C=CC=C3OC(=O)N4CCOCC4)C=C2,active,
CID-651293,CC(C)NC(=O)CN1CCN(CC1)C2=NC=CC=N2.C(=O)(C(=O)O)O,active,
CID-651774,COCCNC(=O)C(C1=CC=CC=C1)N(CC2=CC=CS2)C(=O)CN3C4=CC=CC=C4N=N3,active,
CID-652480,CC1=CC=C(C=C1)C(=O)CSC2=NN=C(N2CC3=CC=CO3)CNC4=C(C=C(C=C4)C)C,active,
CID-654498,C1=CC=C(C=C1)CN(C(C2=CC=CS2)C(=O)NCC3=CC=CO3)C(=O)CN4C5=CC=CC=C5N=N4,active,
CID-655942,C1=CC=C(C=C1)CCN(C(C2=CC=CO2)C(=O)NCC3=CC=CO3)C(=O)CN4C5=CC=CC=C5N=N4,active,
CID-657485,CC(C)(C)OC(=O)NCCC(=O)OC1=CC2=C(C=C1)C=CC(=O)O2,active,
CID-659929,C1CN(CC2=C1NC3=C2C=C(C=C3)Br)C(=O)CN4CCSCC4,active,
CID-660907,CC1=CC(=CC=C1)N2C(C(C(=C2N)C#N)(C#N)C#N)C3=CC=CC=C3,active,
CID-661510,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CN2C3=CC=CC=C3N=N2,active,
CID-664943,CC1=C(C(=NN1)C2=C(C=C(C=C2)OCC(=C)C)O)C3=CC=CC=C3,active,
CID-665102,CCN1C(=NN=C1SCC(=O)C(C)(C)C)COC2=CC=CC=C2,active,
CID-666722,C1=CC=C(C(=C1)C2C3=C(C(=O)N2CC4=CC=CO4)NN=C3C5=CC=CC=C5O)F,active,
CID-675749,CC1=C(C=C(C=C1)C(=O)N2C(=CC(=N2)C)C)Br,active,
CID-676085,C1=CC=C(C(=C1)C=CC(=O)NC2=CN=CC=C2)Cl,active,
CID-677475,C1=CC=C2C(=C1)N=NN2CC(=O)C3=CC=C(C=C3)Cl,active,
CID-705256,COC(=O)C1=C(SC(=C1)C2=CC=CC=C2)N,active,
CID-708625,COC1=CC=CC=C1C(=O)NC2=NC3=CC=CC=C3S2,active,
CID-710241,CC1=CC=C(O1)C=C2C(=O)NC(=S)N(C2=O)C3=CC(=CC=C3)OC,active,
CID-722579,C1CCN(CC1)C(=S)C2=CC=C(O2)C3=CC=CC=C3Cl,active,
CID-728514,COC(=O)C1=CC=C(C=C1)OC(=O)CN2C(=O)C3=CC=CC=C3C2=O,active,
CID-728528,CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C3=CC=CO3,active,
CID-736374,C1=CC=C(C=C1)N2N=C3C=C(C(=CC3=N2)Cl)N,active,
CID-738894,C1CC2=C(C1)SC(=C2C#N)NC(=S)NC(=O)C3=CC=CC=C3,active,
CID-740914,C1=CC=C2C(=C1)C(=O)N(C2=O)CC(=O)OC3=CC=C(C=C3)F,active,
